FLDNAME,TEXT
COLPROT,Study protocol of data collection
RID,Participant roster ID
VISCODE,Visit code
VISCODE2,Translated visit code
EXAMDATE,Examination Date
VERSION,
LONIUID,
IMAGEUID,
RUNDATE,
STATUS,
OVERALLQC,An overall quality rating. Refer to additional QC variables for Partial rating.
TEMPQC,QC rating of temporal lobe. Fail affects the following regions: LeftTemporalPole (ST60); RightTemporalPole (ST119); LeftFusiform (ST26); RightFusiform (ST85); LeftSuperiorTemporal (ST58); RightSuperiorTemporal (ST117); LeftInferiorTemporal (ST32); RightInferiorTemporal (ST91); LeftMiddleTemporal (ST40); RightMiddleTemporal (ST99)
FRONTQC,QC rating of the frontal lobe. Fail affects the following regions: LeftFrontalPole (ST25); RightFrontalPole (ST84); LeftPrecentral (ST51); RightPrecentral (ST110); LeftSuperiorFrontal (ST56); RightSuperiorFrontal (ST115); LeftCaudalMiddleFrontal (ST15); RightCaudalMiddleFrontal (ST74); LeftRostralMiddleFrontal (ST55); RightRostralMiddleFrontal (ST114); LeftMedialOrbitofrontal (ST39); RightMedialOrbitofrontal (ST98)
PARQC,QC rating of the parietal lobe. Fail affects the following regions: LeftPostcentral (ST49); RightPostcentral (ST108); LeftSuperiorParietal (ST57); RightSuperiorParietal (ST116); LeftSupraMarginal (ST59); RightSupraMarginal (ST118); LeftParacentral (ST43); RightParacentral (ST102); LeftInferiorParietal (ST31); RightInferiorParietal (ST90)
INSULAQC,QC rating of the insula. Fail affects the following regions: LeftInsula (ST129); RightInsula (ST130)
OCCQC,QC rating of the occipital lobe. Fail affects the following regions: LeftLingual (ST38); RightLingual (ST97); LeftLateralOccipital (ST35); RightLateralOccipital (ST94); LeftPericalcarine (ST48); RightPericalcarine (ST107); LeftCuneus (ST23); RightCuneus (ST82)
BGQC,QC rating of the basal ganglia. Fail affects the following regions: LeftPutamen (ST53); RightPutamen (ST112); LeftCaudate (ST16); RightCaudate (ST75); LeftPallidum (ST42); RightPallidum (ST101)
CWMQC,QC rating of the cerebral WM. Fail affects the following regions: LeftCerebralWM (ST20); RightCerebralWM (ST79); LeftCorticalWM (ST150); RightCorticalWM (ST151); CorticalWM (ST152); LeftHemisphereWM (ST28); RightHemisphereWM (ST87)
VENTQC,QC rating of the ventricles. Fail affects the following regions: LeftLateralVentricle (ST37); RightLateralVentricle (ST96); LeftInferiorLateralVentricle (ST30); RightInferiorLateralVentricle (ST89); ThirdVentricle (ST127); FourthVentricle (ST9); FifthVentrical (ST8); LeftChoroidPlexus (ST21); RightChoroidPlexus (ST80)
HIPPOQC,QC rating of the hippocampus. Fail affects the following regions:  RightInferiorLateralVentricle (ST89); ThirdVentricle (ST127); FourthVentricle (ST9); FifthVentrical (ST8); LeftChoroidPlexus (ST21); RightChoroidPlexus (ST80)
ST101SV,Subcortical Volume (aseg.stats) of RightPallidum
ST102CV,Cortical Volume (aparc.stats) of RightParacentral
ST102SA,Surface Area (aparc.stats) of RightParacentral
ST102TA,Thickness Average (aparc.stats) of RightParacentral
ST102TS,Thickness Stardard Deviation (aparc.stats) of RightParacentral
ST103CV,Cortical Volume (aparc.stats) of RightParahippocampal
ST103SA,Surface Area (aparc.stats) of RightParahippocampal
ST103TA,Thickness Average (aparc.stats) of RightParahippocampal
ST103TS,Thickness Stardard Deviation (aparc.stats) of RightParahippocampal
ST104CV,Cortical Volume (aparc.stats) of RightParsOpercularis
ST104SA,Surface Area (aparc.stats) of RightParsOpercularis
ST104TA,Thickness Average (aparc.stats) of RightParsOpercularis
ST104TS,Thickness Stardard Deviation (aparc.stats) of RightParsOpercularis
ST105CV,Cortical Volume (aparc.stats) of RightParsOrbitalis
ST105SA,Surface Area (aparc.stats) of RightParsOrbitalis
ST105TA,Thickness Average (aparc.stats) of RightParsOrbitalis
ST105TS,Thickness Stardard Deviation (aparc.stats) of RightParsOrbitalis
ST106CV,Cortical Volume (aparc.stats) of RightParsTriangularis
ST106SA,Surface Area (aparc.stats) of RightParsTriangularis
ST106TA,Thickness Average (aparc.stats) of RightParsTriangularis
