# Common card suit & line drawing characters

0xC0	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0xC1	0x2660	#BLACK SPADE SUIT
0xC2	0xF13C	#BOX DRAWINGS LIGHT VERTICAL ONE EIGHTH LEFT (CUS)
0xC3	0xF13B	#BOX DRAWINGS LIGHT HORIZONTAL ONE EIGHTH UP (CUS)
0xC4	0xF122	#BOX DRAWINGS LIGHT HORIZONTAL TWO EIGHTHS UP (CUS)
0xC5	0xF123	#BOX DRAWINGS LIGHT HORIZONTAL THREE EIGHTHS UP (CUS)
0xC6	0xF124	#BOX DRAWINGS LIGHT HORIZONTAL ONE EIGHTH DOWN (CUS)
0xC7	0xF126	#BOX DRAWINGS LIGHT VERTICAL TWO EIGHTHS LEFT (CUS)
0xC8	0xF128	#BOX DRAWINGS LIGHT VERTICAL ONE EIGHTH RIGHT (CUS)
0xC9	0x256E	#BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0xCA	0x2570	#BOX DRAWINGS LIGHT ARC UP AND RIGHT
0xCB	0x256F	#BOX DRAWINGS LIGHT ARC UP AND LEFT
0xCC	0xF12A	#ONE EIGHTH BLOCK UP AND RIGHT (CUS)
0xCD	0x2572	#BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0xCE	0x2571	#BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0xCF	0xF12B	#ONE EIGHTH BLOCK DOWN AND RIGHT (CUS)
0xD0	0xF12C	#ONE EIGHTH BLOCK DOWN AND LEFT (CUS)
0xD1	0x25CF	#BLACK CIRCLE
0xD2	0xF125	#BOX DRAWINGS LIGHT HORIZONTAL TWO EIGHTHS DOWN (CUS)
0xD3	0x2665	#BLACK HEART SUIT
0xD4	0xF127	#BOX DRAWINGS LIGHT VERTICAL THREE EIGHTHS LEFT (CUS)
0xD5	0x256D	#BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0xD6	0x2573	#BOX DRAWINGS LIGHT DIAGONAL CROSS
0xD7	0x25CB	#WHITE CIRCLE
0xD8	0x2663	#BLACK CLUB SUIT
0xD9	0xF129	#BOX DRAWINGS LIGHT VERTICAL TWO EIGHTHS RIGHT (CUS)
0xDA	0x2666	#BLACK DIAMOND SUIT
0xDB	0x253C	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xDC	0xF12E	#LEFT HALF BLOCK MEDIUM SHADE (CUS)
0xDD	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0xDE	0x03C0	#GREEK SMALL LETTER PI
0xDF	0x25E5	#BLACK UPPER RIGHT TRIANGLE
