# Duplicate common box & line drawing characters

0xE0	0x00A0	#NO-BREAK SPACE
0xE1	0x258C	#LEFT HALF BLOCK
0xE2	0x2584	#LOWER HALF BLOCK
0xE3	0x2594	#UPPER ONE EIGHTH BLOCK
0xE4	0x2581	#LOWER ONE EIGHTH BLOCK
0xE5	0x258F	#LEFT ONE EIGHTH BLOCK
0xE6	0x2592	#MEDIUM SHADE
0xE7	0x2595	#RIGHT ONE EIGHTH BLOCK
0xE8	0xF12F	#LOWER HALF BLOCK MEDIUM SHADE (CUS)
0xEA	0xF130	#RIGHT ONE QUARTER BLOCK (CUS)
0xEB	0x251C	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xEC	0x2597	#QUADRANT LOWER RIGHT
0xED	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0xEE	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0xEF	0x2582	#LOWER ONE QUARTER BLOCK
0xF0	0x250C	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xF1	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xF2	0x252C	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xF3	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xF4	0x258E	#LEFT ONE QUARTER BLOCK
0xF5	0x258D	#LEFT THREE EIGTHS BLOCK
0xF6	0xF131	#RIGHT THREE EIGHTHS BLOCK (CUS)
0xF7	0xF132	#UPPER ONE QUARTER BLOCK (CUS)
0xF8	0xF133	#UPPER THREE EIGHTS BLOCK (CUS)
0xF9	0x2583	#LOWER THREE EIGHTHS BLOCK
0xFB	0x2596	#QUADRANT LOWER LEFT
0xFC	0x259D	#QUADRANT UPPER RIGHT
0xFD	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xFE	0x2598	#QUADRANT UPPER LEFT
