# Duplicate common card suit & line drawing characters

0x60	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0x61	0x2660	#BLACK SPADE SUIT
0x62	0xF13C	#BOX DRAWINGS LIGHT VERTICAL ONE EIGHTH LEFT (CUS)
0x63	0xF13B	#BOX DRAWINGS LIGHT HORIZONTAL ONE EIGHTH UP (CUS)
0x64	0xF122	#BOX DRAWINGS LIGHT HORIZONTAL TWO EIGHTHS UP (CUS)
0x65	0xF123	#BOX DRAWINGS LIGHT HORIZONTAL THREE EIGHTHS UP (CUS)
0x66	0xF124	#BOX DRAWINGS LIGHT HORIZONTAL ONE EIGHTH DOWN (CUS)
0x67	0xF126	#BOX DRAWINGS LIGHT VERTICAL TWO EIGHTHS LEFT (CUS)
0x68	0xF128	#BOX DRAWINGS LIGHT VERTICAL ONE EIGHTH RIGHT (CUS)
0x69	0x256E	#BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0x6A	0x2570	#BOX DRAWINGS LIGHT ARC UP AND RIGHT
0x6B	0x256F	#BOX DRAWINGS LIGHT ARC UP AND LEFT
0x6C	0xF12A	#ONE EIGHTH BLOCK UP AND RIGHT (CUS)
0x6D	0x2572	#BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0x6E	0x2571	#BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0x6F	0xF12B	#ONE EIGHTH BLOCK DOWN AND RIGHT (CUS)
0x70	0xF12C	#ONE EIGHTH BLOCK DOWN AND LEFT (CUS)
0x71	0x25CF	#BLACK CIRCLE
0x72	0xF125	#BOX DRAWINGS LIGHT HORIZONTAL TWO EIGHTHS DOWN (CUS)
0x73	0x2665	#BLACK HEART SUIT
0x74	0xF127	#BOX DRAWINGS LIGHT VERTICAL THREE EIGHTHS LEFT (CUS)
0x75	0x256D	#BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0x76	0x2573	#BOX DRAWINGS LIGHT DIAGONAL CROSS
0x77	0x25CB	#WHITE CIRCLE
0x78	0x2663	#BLACK CLUB SUIT
0x79	0xF129	#BOX DRAWINGS LIGHT VERTICAL TWO EIGHTHS RIGHT (CUS)
0x7A	0x2666	#BLACK DIAMOND SUIT
0x7B	0x253C	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x7C	0xF12E	#LEFT HALF BLOCK MEDIUM SHADE (CUS)
0x7D	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0x7E	0x03C0	#GREEK SMALL LETTER PI
0x7F	0x25E5	#BLACK UPPER RIGHT TRIANGLE
